trip_id,stop_id,departure_time
T1,S1,08:00:00
T1,S4,09:15:00
T1,S2,10:15:00
T1,S6,12:30:00
T1,S5,14:00:00
T1,S7,17:00:00
T2,S1,14:00:00
T2,S4,15:15:00
T2,S2,16:15:00
T2,S6,18:30:00
T2,S5,20:00:00
T2,S7,23:00:00
T3,S3,06:30:00
T3,S2,09:00:00
T3,S8,11:00:00
T3,S6,11:30:00
T9,S3,15:00:00
T9,S2,17:30:00
T9,S8,19:30:00
T9,S6,20:00:00
T4,S5,07:45:00
T4,S9,08:30:00
T4,S10,09:30:00
T4,S2,11:30:00
T4,S3,13:00:00
T5,S4,06:00:00
T5,S1,07:15:00
T6,S4,18:00:00
T6,S1,19:15:00
T7,S11,07:00:00
T7,S8,09:00:00
T7,S6,09:30:00
T7,S5,11:00:00
T10,S11,13:00:00
T10,S8,15:00:00
T10,S6,15:30:00
T10,S5,17:00:00
T8,S2,08:15:00
T8,S8,10:30:00
T8,S6,11:00:00
